title,released,rating_x,ratings_count_x,metacritic_score,genres,platforms,developer,publisher,rating_y,user score,ratings_count_y
A FISTFUL OF GUN,2015-09-24,,,,TOP-DOWN SHOOT-'EM-UP,PC,FARMERGNOME,DEVOLVER DIGITAL,,7.1,16.0
A FOLD APART,2020-04-16,,,,ADVENTURE,PC,LIGHTNING ROD GAMES,LIGHTNING ROD GAMES,RATED E FOR EVERYONE,6.3,7.0
A GAME OF CHANGES,2016-06-02,,2.0,,,,,,,,
A GAME OF DWARVES,2012-10-23,,14.0,60.0,,,,,,,
A GAME OF DWARVES,2012-10-23,,,,STRATEGY,PC,ZEAL GAME STUDIOS,PARADOX INTERACTIVE,,6.4,66.0
A GAME OF THRONES - GENESIS,2011-09-28,,19.0,,,,,,,,
A GAME OF THRONES GENESIS,2011-09-28,,,,REAL-TIME STRATEGY,PC,CYANIDE,FOCUS HOME INTERACTIVE,,4.1,117.0
A GAME OF THRONES: THE BOARD GAME - DIGITAL EDITION,2020-10-05,,11.0,,,,,,,,
A GOLDEN WAKE,2014-10-08,,12.0,68.0,,,,,,,
A GOLDEN WAKE,2014-10-09,,,,POINT-AND-CLICK,PC,GRUNDISLAV GAMES,WADJET EYE GAMES,,6.0,20.0
A GOOD SNOWMAN IS HARD TO BUILD,2015-02-25,EVERYONE 10+,32.0,,,,,,,,
A GOOD SNOWMAN IS HARD TO BUILD,2015-12-09,,,,ACTION PUZZLE,PC,DRAKNEK,DRAKNEK,,6.6,14.0
A GRANDE BAGUNÇA ESPACIAL - THE BIG SPACE MESS,2016-04-05,,31.0,,,,,,,,
A GUMMY'S LIFE,2018-09-25,,,,PARTY,NINTENDO SWITCH,EP GAMES,EP GAMES,RATED E +10 FOR EVERYONE +10,8.0,5.0
A HAT IN TIME,2017-10-05,,494.0,77.0,,,,,,,
A HAT IN TIME,2017-10-05,,,,3D PLATFORMER,PC,GEARS FOR BREAKFAST,GEARS FOR BREAKFAST,RATED E +10 FOR EVERYONE +10,8.7,556.0
A HIGHLAND SONG,2023-12-05,,,,ADVENTURE,NINTENDO SWITCH,INKLE,INKLE,RATED E FOR EVERYONE,0.0,0.0
A HOUSE OF MANY DOORS,2017-02-03,,4.0,,,,,,,,
A JUGGLER'S TALE,2021-09-29,,29.0,73.0,,,,,,,
A JUGGLER'S TALE,2021-09-29,,,,2D PLATFORMER,NINTENDO SWITCH,KALEIDOSCUBE,MIXTVISION,RATED E +10 FOR EVERYONE +10,7.3,9.0
