title,released,rating,ratings_count,genres,platforms
ABC COLORING TOWN,2013-02-23,,11,CASUAL,PC
ABE VR,2016-06-23,,4,ADVENTURE,PC
ABERMORE,2022-03-29,,0,ACTION ADVENTURE,PC
ABEROTH,2015-07-17,,14,ACTION,MACOS
ABOUT ELISE,2017-09-26,,3,ADVENTURE,PC
ABOUT LOVE HATE AND THE OTHER ONES,2012-10-23,,21,ADVENTURE,IOS
ABOVE THE FALLEN,2017-09-18,,1,ADVENTURE,PC
ABRIX FOR KIDS,2016-08-12,,16,STRATEGY,PC
ABSCONDING ZATWOR,2015-07-06,,14,ACTION,PC
ABSENT,2015-08-31,,4,ADVENTURE,PC
ABSOLOOT,2017-03-15,,12,ACTION,PC
ABSOLUTE DRIFT,2015-07-24,RATED E FOR EVERYONE,117,ACTION,IOS
ABSOLUTE DRIFT,2020-12-03,RATED E FOR EVERYONE,6,AUTO RACING,PC
ABSOLVER,2017-08-28,RATED T FOR TEEN,404,ACTION,PC
